Candidate,Party,Race,JurisdictionName,County,Votes
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Adams,1598
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Adams,2875
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Adams,3076
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Adams,1348
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Adams,1382
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Adams,3130
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Adams,1552
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Adams,3010
Randy I. Dorn,3505,Washington State Superintendent of Public Instruction,,Adams,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Adams,1463
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Adams,2905
Mark G. Schoesler,(Prefers G.O.P. Party),Legislative District 9 State Senator,Legislative District 9,Adams,3929
Susan Fagan,(Prefers Republican Party),Legislative District 9 State Representative Pos. 1,Legislative District 9,Adams,3769
Joe Schmick,(Prefers Republican  Party),Legislative District 9 State Representative Pos. 2,Legislative District 9,Adams,3812
Rudy Plager,(Prefers Republican Party),ADAMS COUNTY County Commissioner District 1,ADAMS COUNTY,Adams,2001
John N. Marshall,(Prefers Republican Party),ADAMS COUNTY County Commissioner District 1,ADAMS COUNTY,Adams,2240
Roger L. Hartwig,(Prefers Republican Party),ADAMS COUNTY County Commissioner District 2,ADAMS COUNTY,Adams,2849
Oscar Garza,(Prefers Republican Party),ADAMS COUNTY County Commissioner District 2,ADAMS COUNTY,Adams,1407
Susan Owens,3514,Supreme Court Justice Position 2,,Adams,100
Steve Gonzalez,3203,Supreme Court Justice Position 8,,Adams,100
Sheryl Gordon McCloud,1577,Supreme Court Justice Position 9,,Adams,42.7487
Richard B. Sanders,2112,Supreme Court Justice Position 9,,Adams,57.2513
Levy, Yes,SCHOOL DISTRICT 122 - BENGE Benge School District #122 - Special Election Proposition 1 Replacement Maintenance and Operation Levy,SCHOOL DISTRICT 122 - BENGE,Adams,26
Levy, No,SCHOOL DISTRICT 122 - BENGE Benge School District #122 - Special Election Proposition 1 Replacement Maintenance and Operation Levy,SCHOOL DISTRICT 122 - BENGE,Adams,4
Levy, Yes,SCHOOL DISTRICT 160 - RITZVILLE Ritzville School District #160 - Special Election Proposition 1 Capital Levy to Improve Jimmie Snider Field,SCHOOL DISTRICT 160 - RITZVILLE,Adams,625
Levy, No,SCHOOL DISTRICT 160 - RITZVILLE Ritzville School District #160 - Special Election Proposition 1 Capital Levy to Improve Jimmie Snider Field,SCHOOL DISTRICT 160 - RITZVILLE,Adams,629
Approved,8,FIRE DISTRICT 4 Fire District 4 - Special Election Proposition #1 Maintenance and Operation Levy,,Adams,100
Rejected,0,FIRE DISTRICT 4 Fire District 4 - Special Election Proposition #1 Maintenance and Operation Levy,,Adams,0
Approved,105,WASHTUCNA PARK AND RECREATION 2 Washtucna Park and Recreation District #2 - Special Election Proposition 1 Maintenance and Operation Levy,,Adams,56.7568
Rejected,80,WASHTUCNA PARK AND RECREATION 2 Washtucna Park and Recreation District #2 - Special Election Proposition 1 Maintenance and Operation Levy,,Adams,43.2432
Approved,280,CEMETERY DISTRICT 3 Cemetery District 3 - Special Election Proposition 1 Maintenance and Operation Levy,,Adams,64.6651
Rejected,153,CEMETERY DISTRICT 3 Cemetery District 3 - Special Election Proposition 1 Maintenance and Operation Levy,,Adams,35.3349
Yes,6812,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Asotin,72.0465
No,2643,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Asotin,27.9535
Yes,4079,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Asotin,43.0683
No,5392,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Asotin,56.9317
Approved,3641,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Asotin,36.9795
Rejected,6205,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Asotin,63.0205
Yes,4829,Statewide Initiative Measure No. 502 Concerns marijuana,,Asotin,48.9955
No,5027,Statewide Initiative Measure No. 502 Concerns marijuana,,Asotin,51.0045
Approved,5895,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Asotin,65.4709
Rejected,3109,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Asotin,34.5291
Approved,3649,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Asotin,39.4871
Rejected,5592,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Asotin,60.5129
Repealed,5883,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Asotin,67.6985
Maintained,2807,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Asotin,32.3015
Repealed,6276,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Asotin,70.343
Maintained,2646,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Asotin,29.657
Yes,3437,COUNTYWIDE Asotin County Proposition No. 1,,Asotin,37.6369
No,5695,COUNTYWIDE Asotin County Proposition No. 1,,Asotin,62.3631
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Asotin,4003
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Asotin,5654
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Asotin,151
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Asotin,31
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Asotin,34
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Asotin,3
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Asotin,4
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Asotin,21
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Asotin,4563
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Asotin,5193
Cathy McMorris Rodgers,(Prefers Republican Party),Congressional District 5 U.S. Representative,Congressional District 5,Asotin,6091
Rich Cowan,(Prefers Democratic Party),Congressional District 5 U.S. Representative,Congressional District 5,Asotin,3583
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Asotin,4027
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Asotin,5677
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Asotin,4187
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Asotin,5137
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Asotin,5560
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Asotin,3706
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Asotin,4104
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Asotin,5090
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Asotin,5411
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Asotin,3771
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Asotin,3883
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Asotin,5433
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Asotin,4246
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Asotin,4970
Randy I. Dorn,7302,Washington State Superintendent of Public Instruction,,Asotin,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Asotin,3933
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Asotin,5131
Mark G. Schoesler,(Prefers G.O.P. Party),Legislative District 9 State Senator,Legislative District 9,Asotin,7208
Susan Fagan,(Prefers Republican Party),Legislative District 9 State Representative Pos. 1,Legislative District 9,Asotin,7377
Joe Schmick,(Prefers Republican  Party),Legislative District 9 State Representative Pos. 2,Legislative District 9,Asotin,7292
BRIAN SHINN,(States No Party Preference),COUNTYWIDE COUNTY COMMISSIONER 1,COUNTYWIDE,Asotin,5359
Mark Wood,(Prefers Republican Party),COUNTYWIDE COUNTY COMMISSIONER 1,COUNTYWIDE,Asotin,3960
Richard (Doc) Eggleston,(Prefers Republican Party),COUNTYWIDE COUNTY COMMISSIONER 2,COUNTYWIDE,Asotin,4412
Jim Fuller,(Prefers Democrat Party),COUNTYWIDE COUNTY COMMISSIONER 2,COUNTYWIDE,Asotin,4978
Gerald A St. Amour,73,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,1.0871
Kit Wickenkamp,292,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,4.3485
Butch Aiken,1033,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,15.3835
Richard J. White,367,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,5.4654
Cameron L. Tinder,58,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,0.8637
Don Scheibe,1586,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,23.6188
Brian Temple,428,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,6.3738
Linda Rue Wood,508,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,7.5652
Sandra St. Amour,158,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,2.3529
Richard (Rick) Rogers,1037,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,15.443
Steven G. Lee,103,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,1.5339
Gordon Glenn,549,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,8.1757
Jack Seeh,345,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,5.1378
Don Richel,178,COUNTYWIDE Free Holder Commissioner District No. 1,,Asotin,2.6508
Robert (Bob) Cannon,234,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,3.3472
Mark Heuett,776,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,11.1
Adrienne Bennett,154,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,2.2028
Keith Delzer,140,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,2.0026
Tom Van Horn,163,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,2.3316
Todd Richardson,408,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,5.8361
Lewellyn (Louie) Juhl,87,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,1.2445
Leroy Croll,47,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,0.6723
Lynn Sanders,277,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,3.9622
Doug Schurman,1539,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,22.014
Vince T. Stroops,130,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,1.8595
Scott Broyles,1377,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,19.6968
Karen Juhl,102,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,1.459
Donald O'Malley,107,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,1.5305
Joel Ristau,494,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,7.0662
Bill Derbonne,197,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,2.8179
Thomas A. Sattler,341,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,4.8777
Patricia Bates,257,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,3.6762
Ruth Cannon,161,COUNTYWIDE Free Holder Commissioner District No. 2,,Asotin,2.303
Rose Marie Araya,316,COUNTYWIDE Free Holder Commissioner District No. 3,,Asotin,5.2658
Judy Wilder,443,COUNTYWIDE Free Holder Commissioner District No. 3,,Asotin,7.3821
Rebecca Gayle Nourse,230,COUNTYWIDE Free Holder Commissioner District No. 3,,Asotin,3.8327
John (Bud) Sharp,1934,COUNTYWIDE Free Holder Commissioner District No. 3,,Asotin,32.228
Don Galles,358,COUNTYWIDE Free Holder Commissioner District No. 3,,Asotin,5.9657
Roberta Treadway-Sharp,196,COUNTYWIDE Free Holder Commissioner District No. 3,,Asotin,3.2661
Alice White,1038,COUNTYWIDE Free Holder Commissioner District No. 3,,Asotin,17.2971
Brian Kolstad,794,COUNTYWIDE Free Holder Commissioner District No. 3,,Asotin,13.2311
Nicholas Fiore,217,COUNTYWIDE Free Holder Commissioner District No. 3,,Asotin,3.6161
Jennie F. Shepherd,475,COUNTYWIDE Free Holder Commissioner District No. 3,,Asotin,7.9153
Susan Owens,6963,Supreme Court Justice Position 2,,Asotin,100
Steve Gonzalez,6802,Supreme Court Justice Position 8,,Asotin,100
Sheryl Gordon McCloud,3682,Supreme Court Justice Position 9,,Asotin,48.6779
Richard B. Sanders,3882,Supreme Court Justice Position 9,,Asotin,51.3221
 Columbia, Garfield Superior Court Judge Position 1,Asotin,100,Asotin,William D. (Bill) Acey
 Proposition No. 1 Emergency Medical Services Property Tax Levy,Yes,EMS DISTRICT 1 EMS District 1,EMS DISTRICT 1,Asotin,382
 Proposition No. 1 Emergency Medical Services Property Tax Levy,No,EMS DISTRICT 1 EMS District 1,EMS DISTRICT 1,Asotin,184
 Proposition No. 1 Excess Tax Levy,Yes,EMS DISTRICT 2 EMS District 2,72.1154,Asotin, Levy
 Proposition No. 1 Excess Tax Levy,No,EMS DISTRICT 2 EMS District 2,27.8846,Asotin, Levy
Kim Geist Jr.,2492,PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 2,,Asotin,34.9656
Don Nuxoll,4635,PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 2,,Asotin,65.0344
Yes,56547,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Benton,73.826
No,20048,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Benton,26.174
Yes,39659,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Benton,51.13
No,37906,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Benton,48.87
Approved,29109,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Benton,36.7928
Rejected,50007,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Benton,63.2072
Yes,34530,Statewide Initiative Measure No. 502 Concerns marijuana,,Benton,43.5897
No,44686,Statewide Initiative Measure No. 502 Concerns marijuana,,Benton,56.4103
Approved,46019,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Benton,64.4001
Rejected,25439,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Benton,35.5999
Approved,28953,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Benton,39.6584
Rejected,44053,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Benton,60.3416
Repealed,45993,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Benton,66.2084
Maintained,23474,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Benton,33.7916
Repealed,44118,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Benton,64.2548
Maintained,24543,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Benton,35.7452
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Benton,28145
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Benton,49461
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Benton,1148
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Benton,303
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Benton,360
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Benton,19
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Benton,18
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Benton,105
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Benton,33391
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Benton,44828
Doc Hastings,(Prefers Republican Party),Congressional District 4 U.S. Representative,Congressional District 4,Benton,54409
Mary Baechler,(Prefers Democratic Party),Congressional District 4 U.S. Representative,Congressional District 4,Benton,23105
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Benton,27291
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Benton,50757
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Benton,30014
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Benton,44997
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Benton,50318
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Benton,23684
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Benton,30583
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Benton,42972
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Benton,48083
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Benton,24989
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Benton,23756
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Benton,50660
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Benton,25868
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Benton,49148
Randy I. Dorn,56452,Washington State Superintendent of Public Instruction,,Benton,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Benton,28462
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Benton,43933
Jay Clough,(Prefers Democratic Party),Legislative District 8 State Representative Pos. 1,Legislative District 8,Benton,22695
Brad Klippert,(Prefers Republican Party),Legislative District 8 State Representative Pos. 1,Legislative District 8,Benton,37123
Larry Haler,(Prefers Republican Party),Legislative District 8 State Representative Pos. 2,Legislative District 8,Benton,42953
Richard Reuther,(Prefers Democratic Party),Legislative District 8 State Representative Pos. 2,Legislative District 8,Benton,16358
Mike Hewitt,(Prefers Republican Party),Legislative District 16 State Senator,Legislative District 16,Benton,10706
Scott Nettles,(Prefers Democratic Party),Legislative District 16 State Senator,Legislative District 16,Benton,3981
Maureen Walsh,(Prefers Republican Party),Legislative District 16 State Representative Pos. 1,Legislative District 16,Benton,7134
Mary Ruth Edwards,(Prefers Republican Party),Legislative District 16 State Representative Pos. 1,Legislative District 16,Benton,6357
Terry R. Nealey,(Prefers Republican Party),Legislative District 16 State Representative Pos. 2,Legislative District 16,Benton,11916
Jerome Delvin,(Prefers Republican Party),Benton County Commissioner District #1,Benton County,Benton,43685
Rick Jansons,(Prefers Republican Party),Benton County Commissioner District #1,Benton County,Benton,25133
James R Beaver,(Prefers Republican Party),Benton County Commissioner District #3,Benton County,Benton,51801
Edgar Cousineau,(Prefers Republican Party),Benton County Commissioner District #3,Benton County,Benton,15043
Robert Bertsch,19679,Benton County PUD Commissioner Pos. 3,,Benton,48.8968
Barry Bush,20567,Benton County PUD Commissioner Pos. 3,,Benton,51.1032
Susan Owens,54438,Supreme Court Justice Position 2,,Benton,100
Steve Gonzalez,53800,Supreme Court Justice Position 8,,Benton,100
Sheryl Gordon McCloud,26926,Supreme Court Justice Position 9,,Benton,42.2654
Richard B. Sanders,36781,Supreme Court Justice Position 9,,Benton,57.7346
Yes,22498,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Chelan,72.9791
No,8330,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Chelan,27.0209
Yes,16849,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Chelan,53.841
No,14445,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Chelan,46.159
Approved,13624,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Chelan,42.627
Rejected,18337,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Chelan,57.373
Yes,16616,Statewide Initiative Measure No. 502 Concerns marijuana,,Chelan,51.8537
No,15428,Statewide Initiative Measure No. 502 Concerns marijuana,,Chelan,48.1463
Approved,20174,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Chelan,69.7724
Rejected,8740,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Chelan,30.2276
Approved,12384,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Chelan,41.8435
Rejected,17212,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Chelan,58.1565
Repealed,17553,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Chelan,62.9636
Maintained,10325,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Chelan,37.0364
Repealed,16575,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Chelan,60.79
Maintained,10691,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Chelan,39.21
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Chelan,13112
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Chelan,18402
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Chelan,426
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Chelan,91
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Chelan,154
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Chelan,9
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Chelan,20
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Chelan,36
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Chelan,14892
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Chelan,16808
Dave Reichert,(Prefers Republican Party),Congressional District 8 U.S. Representative,Congressional District 8,Chelan,20614
Karen Porterfield,(Prefers Democratic Party),Congressional District 8 U.S. Representative,Congressional District 8,Chelan,10579
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Chelan,11616
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Chelan,20291
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Chelan,12528
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Chelan,17910
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Chelan,19282
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Chelan,10681
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Chelan,13228
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Chelan,16556
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Chelan,18471
